freq,word
5,pocketbook
17,bound
3,thong
3,halves
12,carefully
3,strapping
3,stowing
1,strongroom
1,embarrassed
14,shells
2,mortar
1,whelks
1,cowries
1,leopard
1,whorled
1,emirs
2,turban
1,scallop
29,james
2,pilgrims
4,hoard
15,sovereign
6,pile
1,tablecloth
3,savingsbox
7,handy
109,things
52,shillings
2,sixpences
2,halfcrowns
9,crowns
72,find
6,haste
2,earned
51,beauty
88,power
15,lump
12,soiled
5,greed
9,misery
17,carry
16,lose
33,buy
5,machines
18,wisdom
1,nooses
27,lived
31,youth
39,shakespeare
14,purse
4,iago
36,lifted
8,stare
25,poet
10,pride
2,proudest
1,englishmans
1,seacold
1,unhating
13,empire
4,sets
7,ba
